iter	RMSE
0	4250809.436
1	4097536.656
2	3967692.597
3	3843585.835
4	3755221.238
5	3661804.682
6	3588266.914
7	3500128.205
8	3427363.395
9	3369405.574
10	3314749.804
11	3269579.364
12	3225505.691
13	3169837.534
14	3138748.292
15	3107794.896
16	3087966.917
17	3053662.974
18	3037881.821
19	3018997.365
20	2991295.89
21	2961981.819
22	2945556.082
23	2929837.486
24	2919069.908
25	2907861.53
26	2900706.424
27	2888480.557
28	2873819.566
29	2864546.218
30	2853650.151
31	2837934.093
32	2831490.636
33	2814705.654
34	2802412.581
35	2789178.376
36	2783607.931
37	2779820.67
38	2772564.978
39	2766629.642
40	2759601.75
41	2755131.833
42	2755014.331
43	2751602.404
44	2748061.904
45	2741525.567
46	2737116.834
47	2731708.5
48	2723039.706
49	2719793.502
50	2716472.633
51	2712467.872
52	2706192.108
53	2701482.765
54	2699168.733
55	2695622.607
56	2691384.652
57	2688559.723
58	2686316.998
59	2684448.074
60	2682634.554
61	2678125.647
62	2677086.81
63	2670224.49
64	2667773.777
65	2661335.516
66	2658955.298
67	2657630.497
68	2656338.036
69	2653422.813
70	2652620.795
71	2647996.686
72	2646097.153
73	2642453.889
74	2639320.394
75	2636865.765
76	2633835.451
77	2632250.301
78	2631612.312
79	2628803.556
80	2626617.828
81	2624662.747
82	2623650.752
83	2622488.862
84	2618921.627
85	2617813.137
86	2615990.141
87	2614994.606
88	2614603.576
89	2611376.445
90	2610006.142
91	2608605.946
92	2606943.948
93	2604248.461
94	2603053.701
95	2602050.845
96	2601412.761
97	2599917.986
98	2599327.467
99	2597698.244
100	2593994.637
101	2591906.762
102	2591001.169
103	2589385.388
104	2588416.86
105	2587340.708
106	2586017.195
107	2583913.065
108	2579419.043
109	2578667.678
110	2577806.358
111	2576754.836
112	2575360.892
113	2573902.546
114	2572532.622
115	2571479.891
116	2570442.397
117	2569000.567
118	2567295.7
119	2566497.309
120	2565401.63
121	2564023.824
122	2563190.247
123	2559936.237
124	2558824.679
125	2556655.304
126	2555170.09
127	2551991.048
128	2550356.468
129	2548373.893
130	2545890.328
131	2544573.29
132	2541181.512
133	2539146.375
134	2537401.097
135	2535949.793
136	2531182.239
137	2529812.252
138	2528392.933
139	2525854.294
140	2524154.901
141	2521590.003
142	2519304.784
143	2516546.444
144	2515175.321
145	2513984.059
146	2511255.604
147	2506490.629
148	2503734.951
149	2502425.608
150	2499021.409
151	2496757.647
152	2493448.941
153	2491584.589
154	2489627.804
155	2488169.455
156	2485492.632
157	2484069.33
158	2482973.725
159	2482034.977
160	2480961.189
161	2479737.598
162	2478475.155
163	2477182.534
164	2475887.391
165	2474934.009
166	2473403.178
167	2470766.411
168	2469717.273
169	2468190.536
170	2466955.519
171	2465157.988
172	2464546.135
173	2463329.533
174	2461890.46
175	2460771.045
176	2460040.852
177	2458963.455
178	2457302.713
179	2456349.182
180	2455408.793
181	2453832.701
182	2452496.093
183	2451687.952
184	2450462.026
185	2449031.332
186	2448408.116
187	2447409.336
188	2446830.233
189	2445970.73
190	2445246.428
191	2444512.759
192	2443663.262
193	2442833.893
194	2442017.678
195	2440604.973
196	2439282.453
197	2438693.417
198	2437993.27
199	2436464.49
200	2434999.392
201	2433601.581
202	2433062.552
203	2432271.855
204	2431478.772
205	2430922.331
206	2430452.574
207	2429739.644
208	2429171.694
209	2428386.548
210	2427500.678
211	2426897.235
212	2426327.088
213	2425800.86
214	2424509.261
215	2423969.013
216	2422967.527
217	2422404.877
218	2421797.867
219	2421113.843
220	2420646.601
221	2420166.753
222	2418785.679
223	2418268.213
224	2417203.052
225	2416490.336
226	2415902.095
227	2415497.537
228	2414613.468
229	2414142.183
230	2413494.254
231	2412841.21
232	2412156.824
233	2411587.25
234	2410918.716
235	2410086.191
236	2409221.195
237	2407888.127
238	2406981.481
239	2406265.422
240	2405403.542
241	2404951.322
242	2404528.868
243	2403981.504
244	2403442.078
245	2402863.494
246	2402455.495
247	2401933.033
248	2401281.541
249	2400364.25
250	2399511.39
251	2398892.218
252	2398453.505
253	2397145.124
254	2396888.425
255	2396097.773
256	2395869.529
257	2395402.131
258	2394943.062
259	2394483.891
260	2393935.073
261	2393515.879
262	2392849.14
263	2392607.638
264	2392186.059
265	2391673.425
266	2391356.226
267	2391006.993
268	2390599.433
269	2390157.673
270	2389893.365
271	2389467.507
272	2388944.678
273	2388459.676
274	2388065.208
275	2387013.356
276	2386565.292
277	2386154.213
278	2385580.165
279	2385001.744
280	2384673.065
281	2383973.58
282	2383685.053
283	2383360.74
284	2382787.431
285	2382422.292
286	2382015.914
287	2381428.45
288	2380995.849
289	2380720.738
290	2380367.818
291	2379711.979
292	2379453.704
293	2379218.09
294	2378672.654
295	2378376.838
296	2377934.913
297	2377353.994
298	2377018.196
299	2376670.047
