iter	Passed	Remaining
0	100	29913
1	169	25294
2	213	21166
3	281	20856
4	357	21109
5	379	18597
6	406	16999
7	446	16310
8	487	15772
9	542	15731
10	594	15616
11	659	15828
12	710	15675
13	744	15215
14	798	15176
15	872	15486
16	930	15496
17	1001	15696
18	1067	15791
19	1132	15859
20	1185	15749
21	1246	15751
22	1316	15852
23	1378	15858
24	1446	15907
25	1498	15796
26	1565	15824
27	1620	15741
28	1676	15664
29	1744	15701
30	1796	15589
31	1840	15410
32	1882	15234
33	1936	15152
34	1991	15076
35	2036	14935
36	2076	14758
37	2137	14736
38	2185	14627
39	2249	14623
40	2296	14504
41	2340	14376
42	2366	14146
43	2426	14119
44	2479	14050
45	2527	13956
46	2582	13900
47	2651	13921
48	2710	13886
49	2760	13800
50	2832	13830
51	2886	13767
52	2939	13698
53	2984	13597
54	3043	13556
55	3102	13515
56	3159	13468
57	3242	13527
58	3285	13421
59	3352	13410
60	3401	13326
61	3456	13268
62	3523	13253
63	3578	13196
64	3616	13075
65	3655	12960
66	3713	12914
67	3768	12858
68	3859	12919
69	3920	12882
70	3967	12796
71	4013	12709
72	4058	12621
73	4099	12520
74	4161	12484
75	4228	12463
76	4289	12422
77	4340	12354
78	4394	12292
79	4454	12248
80	4528	12243
81	4570	12152
82	4623	12088
83	4677	12027
84	4735	11977
85	4813	11976
86	4846	11866
87	4901	11808
88	4967	11776
89	5021	11717
90	5072	11649
91	5120	11577
92	5186	11543
93	5243	11491
94	5291	11418
95	5333	11332
96	5373	11246
97	5418	11168
98	5485	11138
99	5564	11128
100	5639	11112
101	5722	11108
102	5814	11120
103	5907	11132
104	5982	11111
105	6057	11086
106	6118	11035
107	6187	10999
108	6243	10940
109	6312	10903
110	6361	10831
111	6434	10800
112	6497	10751
113	6574	10726
114	6628	10662
115	6706	10637
116	6767	10585
117	6837	10545
118	6889	10479
119	6918	10377
120	6951	10284
121	6990	10198
122	7025	10109
123	7099	10076
124	7156	10019
125	7198	9941
126	7246	9871
127	7292	9798
128	7319	9702
129	7359	9623
130	7387	9529
131	7405	9424
132	7468	9377
133	7510	9303
134	7563	9244
135	7601	9166
136	7625	9073
137	7645	8975
138	7668	8881
139	7689	8788
140	7714	8699
141	7735	8607
142	7760	8520
143	7784	8433
144	7803	8342
145	7823	8252
146	7846	8166
147	7870	8083
148	7898	8004
149	7918	7918
150	7939	7834
151	7961	7752
152	7984	7671
153	8007	7591
154	8027	7509
155	8048	7429
156	8078	7358
157	8097	7277
158	8111	7193
159	8126	7110
160	8150	7036
161	8179	6967
162	8205	6896
163	8232	6827
164	8258	6756
165	8284	6687
166	8323	6628
167	8354	6563
168	8382	6497
169	8437	6452
170	8491	6405
171	8527	6345
172	8553	6279
173	8585	6217
174	8618	6155
175	8645	6090
176	8671	6026
177	8698	5962
178	8726	5898
179	8755	5837
180	8812	5793
181	8836	5729
182	8860	5664
183	8891	5605
184	8925	5548
185	8963	5493
186	8996	5436
187	9053	5393
188	9102	5346
189	9137	5290
190	9166	5231
191	9195	5172
192	9225	5114
193	9252	5055
194	9290	5002
195	9305	4937
196	9324	4875
197	9340	4811
198	9355	4748
199	9373	4686
200	9395	4627
201	9426	4573
202	9455	4517
203	9488	4465
204	9516	4410
205	9546	4356
206	9576	4302
207	9606	4249
208	9638	4196
209	9669	4144
210	9701	4092
211	9730	4038
212	9759	3986
213	9786	3932
214	9819	3882
215	9858	3833
216	9904	3788
217	9971	3750
218	10005	3700
219	10030	3647
220	10053	3593
221	10085	3543
222	10117	3493
223	10141	3440
224	10171	3390
225	10203	3340
226	10229	3289
227	10267	3242
228	10296	3192
229	10324	3142
230	10352	3092
231	10382	3043
232	10412	2994
233	10439	2944
234	10468	2895
235	10498	2847
236	10527	2798
237	10563	2751
238	10600	2705
239	10632	2658
240	10670	2612
241	10702	2565
242	10741	2519
243	10769	2471
244	10801	2424
245	10832	2377
246	10871	2332
247	10916	2288
248	10946	2242
249	10977	2195
250	11012	2149
251	11044	2103
252	11073	2057
253	11107	2011
254	11154	1968
255	11184	1922
256	11216	1876
257	11256	1832
258	11282	1786
259	11317	1741
260	11358	1697
261	11417	1656
262	11466	1613
263	11520	1570
264	11576	1528
265	11634	1487
266	11683	1444
267	11736	1401
268	11787	1358
269	11849	1316
270	11896	1273
271	11921	1227
272	11957	1182
273	12004	1139
274	12055	1095
275	12125	1054
276	12191	1012
277	12247	969
278	12291	925
279	12351	882
280	12417	839
281	12481	796
282	12540	753
283	12616	710
284	12688	667
285	12710	622
286	12726	576
287	12751	531
288	12787	486
289	12828	442
290	12850	397
291	12873	352
292	12888	307
293	12910	263
294	12932	219
295	12953	175
296	12980	131
297	13012	87
298	13040	43
299	13065	0
